
running 272 tests
test cli_telemetry::tests::test_extract_error_code ... ok
test commands::adapter::tests::test_get_adapter_command_name ... ok
test commands::adapter::tests::test_extract_tenant_from_adapter_command ... ok
test commands::adapter::tests::test_get_worker_socket_path ... ok
test commands::adapter::tests::test_lifecycle_transition_tenant ... ok
test commands::adapter::tests::test_lifecycle_transition_command_name ... ok
test commands::adapter::tests::test_adapter_state_serialization ... ok
test commands::adapter::tests::test_demote_adapter_mock ... ok
test commands::adapter::tests::test_profile_adapter_mock ... ok
test commands::adapter::tests::test_evict_adapter_invalid_id ... ok
test commands::adapter::tests::test_evict_adapter_with_reason ... ok
test commands::adapter::tests::test_pin_adapter_mock ... ok
test commands::adapter::tests::test_unpin_adapter_mock ... ok
test commands::adapter::tests::test_evict_adapter_mock ... ok
test commands::adapter::tests::test_promote_adapter_mock ... ok
test commands::adapter::tests::test_update_lifecycle_command_name ... ok
test commands::adapter::tests::test_update_lifecycle_tenant ... ok
test commands::adapter::tests::test_json_output ... ok
test commands::adapter::tests::test_adapter_profile_serialization ... ok
test commands::adapter::tests::test_validate_adapter_id ... ok
test commands::adapter_codebase::tests::test_resolve_adapter_alias_full_id ... ok
test commands::adapter_codebase::tests::test_resolve_adapter_alias_empty ... ok
test commands::adapter_codebase::tests::test_resolve_adapter_alias_repo_branch ... ok
test commands::adapter_codebase::tests::test_resolve_adapter_alias_repo_commit ... ok
test commands::adapter_codebase::tests::test_resolve_adapter_alias_short_alias ... ok
test commands::adapter_codebase::tests::test_scope_filters_has_filters_empty ... ok
test commands::adapter_codebase::tests::test_scope_filters_has_filters_with_exclude_extensions ... ok
test commands::adapter::tests::test_list_adapters_mock ... ok
test commands::adapter::tests::test_list_adapters_pinned_only ... ok
test commands::adapter_codebase::tests::test_scope_filters_has_filters_with_include_paths ... ok
test auth_store::tests::roundtrip_store ... ok
test commands::adapter_codebase::tests::test_scope_filters_to_repo_scope_config ... ok
test commands::adapter_codebase::tests::test_scope_filters_serialization ... ok
test commands::adapter_codebase::tests::test_scope_filters_to_repo_scope_config_empty ... ok
test commands::adapter_codebase::tests::test_scope_override_commit_case_insensitive_match ... ok
test commands::adapter_codebase::tests::test_scope_override_commit_conflict ... ok
test commands::adapter_codebase::tests::test_scope_overrides_has_overrides_all_fields ... ok
test commands::adapter_codebase::tests::test_scope_overrides_has_overrides_empty ... ok
test commands::adapter_codebase::tests::test_scope_overrides_has_overrides_with_commit ... ok
test commands::adapter_codebase::tests::test_scope_overrides_serialization ... ok
test commands::adapter_codebase::tests::test_scope_overrides_to_scope_metadata ... ok
test commands::adapter_codebase::tests::test_validate_repo_slug_consecutive_underscores ... ok
test commands::adapter_codebase::tests::test_validate_repo_slug_empty ... ok
test commands::adapter_codebase::tests::test_validate_repo_slug_leading_underscore ... ok
test commands::adapter_codebase::tests::test_validate_repo_slug_special_chars ... ok
test commands::adapter_codebase::tests::test_validate_repo_slug_too_long ... ok
test auth_store::tests::preload_sets_env_when_missing ... ok
test commands::adapter_codebase::tests::test_validate_repo_slug_trailing_underscore ... ok
test commands::adapter_codebase::tests::test_validate_repo_slug_uppercase ... ok
test commands::adapter_codebase::tests::test_validate_repo_slug_valid ... ok
test commands::adapter_migrate_hashes::tests::test_process_results_empty ... ok
test commands::adapter_migrate_hashes::tests::test_process_results_mixed ... ok
test commands::adapter_repair_hashes::tests::test_needs_repair_content_empty ... ok
test commands::adapter_repair_hashes::tests::test_needs_repair_both_missing ... ok
test commands::adapter_repair_hashes::tests::test_needs_repair_none_needed ... ok
test commands::chat::tests::test_get_chat_command_name ... ok
test commands::chat::tests::test_inference_request_serialization ... ok
test commands::code::tests::test_code_command_clone ... ok
test commands::code::tests::test_code_repository_serialization ... ok
test commands::code::tests::test_get_code_command_name ... ok
test commands::code::tests::test_scan_job_status_serialization ... ok
test commands::code::tests::test_update_command_with_commit ... ok
test commands::config::tests::test_capitalize ... ok
test commands::config::tests::test_config_source_display ... ok
test commands::config::tests::test_get_var_type ... ok
test commands::config::tests::test_env_line_parsing ... ok
test commands::config::tests::test_migration_map_has_entries ... ok
test commands::config::tests::test_parse_env_line ... ok
test commands::config::tests::test_redact_if_sensitive ... ok
test commands::config::tests::test_rename_variable ... ok
test commands::config::tests::test_sensitive_vars_defined ... ok
test commands::config::tests::test_serialize_env ... ok
test commands::config::tests::test_truncate ... ok
test commands::config::tests::test_validate_bool ... ok
test commands::config::tests::test_validate_database_url ... ok
test commands::config::tests::test_validate_duration ... ok
test commands::config::tests::test_validate_enum ... ok
test commands::config::tests::test_validate_float ... ok
test commands::config::tests::test_validate_integer ... ok
test commands::config::tests::test_validate_path_exists ... ok
test commands::config::tests::test_validate_path_no_exist_check ... ok
test commands::config::tests::test_validate_port ... ok
test commands::config::tests::test_validate_url ... ok
test commands::config::tests::test_validation_result_is_error ... ok
test commands::config::tests::test_validation_result_is_warning ... ok
test commands::config::tests::test_validation_status_display ... ok
test commands::datasets::tests::ingest_args_allow_multiple_files ... ok
test commands::dev::tests::test_get_dev_command_name ... ok
test commands::dev::tests::test_service_status_serialization ... ok
test commands::diag_health::tests::display_trust_state_maps_warn_and_blocked_regressed ... ok
test commands::diag_health::tests::drift_decision_thresholds ... ok
test commands::diag_health::tests::render_adapter_health_uses_ui_labels_and_order ... ok
test commands::diag_health::tests::render_dataset_health_uses_ui_labels_and_order ... ok
test commands::doctor::tests::test_check_coreml_backend ... ok
test commands::doctor::tests::test_check_metal_backend ... ok
test commands::doctor::tests::test_check_mlx_backend ... ok
test commands::doctor::tests::test_component_status_deserialization ... ok
test commands::doctor::tests::test_get_timestamp ... ok
test commands::federation::tests::test_get_federation_command_name ... ok
test commands::drift_check::tests::test_compute_drift_metrics ... ok
test commands::drift_check::tests::test_deterministic_slice_stable ... ok
test commands::node::tests::test_artifact_info_serialization ... ok
test commands::node::tests::test_get_node_command_name ... ok
test commands::infer::tests::uds_infer_url_has_expected_shape ... ok
test commands::node::tests::test_replication_manifest_serialization ... ok
test commands::policy::tests::test_explain_policy_by_id ... ok
test commands::policy::tests::test_explain_policy_by_name ... ok
test commands::policy::tests::test_invalid_policy_id ... ok
test commands::policy::tests::test_list_policies_count ... ok
test commands::preflight::tests::test_activation_block_reason_display ... ok
test commands::preflight::tests::test_activation_block_reason_variants ... ok
