id,title,status,step1,step2,step3,step4
B01,Canonical blocker registry missing,in_progress,Create canonical registry file with schema,Assign owner and severity for each blocker,Link each blocker to evidence artifact,Enforce registry validation in CI
B02,Unmapped blocker IDs remain,blocked_scope,Enumerate all unbound IDs,Trace each ID to source artifact,Assign temporary owner and due date,Escalate unresolved IDs weekly
B03,No machine-readable blocker board,in_progress,Define blocker board schema,Generate board from registry,Publish board artifact per run,Gate on board freshness
B04,Migration signature friction,in_progress,Audit unsigned migrations,Sign pending migration files,Add pre-commit/CI signature checks,Block unsigned migration merges
B05,External governance blocked_external,external_blocked,Reproduce blocked_external with canonical command,Capture evidence bundle and exit codes,Separate external vs repo-actionable tasks,Close only on capable-path proof
B06,External checks slow gates,in_progress,Profile gate timing breakdown,Parallelize non-dependent local checks,Add timeout and retry budget for external steps,Track external latency share in artifacts
B07,No p95/p99 release gate,packet_ready,Define endpoint latency budgets,Add perf harness and artifacts,Fail gate on budget breach,Require green perf lane for prod release
B08,No EXPLAIN regression guard,packet_ready,Baseline plans for critical queries,Add CI explain-plan checker,Fail on full-scan regressions,Require owner approval for plan drift
B09,Residual LIKE scans,patch_ready,Inventory remaining LIKE queries,Add indexed normalized lookup columns,Replace LIKE with exact/indexed filters,Remove legacy fallbacks after backfill
B10,Routing membership string scans,patch_ready,Design normalized membership model,Backfill routing decision membership data,Switch to exact membership queries,Add plan/perf regression tests
B11,Tenant/global query inconsistency,patch_ready,List global reads in tenant handlers,Add tenant-scoped DB APIs,Replace in-memory tenant filtering paths,Add tenant isolation tests
B12,Workspace active-state query debt,patch_ready,Add tenant-indexed workspace state query,Remove broad fetch then filter patterns,Benchmark under large tenant fixtures,Gate on query latency budget
B13,Trust-state repeated resolution,patch_ready,Materialize effective trust state,Update on override change events,Read materialized state in hot paths,Add drift reconciliation job
B14,KV to SQL fallback hides issues,patch_ready,Instrument fallback reasons and ratios,Add strict mode for critical reads,Fail closed on structural divergence,Burn down top fallback causes
B15,No fallback ratio SLO gate,packet_ready,Define fallback ratio thresholds,Emit ratio in gate artifacts,Fail release on sustained threshold breach,Add owner escalation flow
B16,Cross-store divergence not gating,packet_ready,Run KV-SQL diff on schedule,Classify divergence severity,Fail gate on critical divergence,Add repair workflow for safe classes
B17,Missing latency ownership map,packet_ready,Map endpoints and queries to owners,Attach SLO targets per owner,Route alerts by ownership map,Review ownership weekly
B18,No perf PR acceptance checklist,packet_ready,Define mandatory perf checklist template,Validate checklist presence in CI,Require owner sign-off,Track compliance trend
B19,No deterministic perf baselines,packet_ready,Pin benchmark environment and seeds,Capture baseline snapshots in repo,Compare in CI with thresholds,Require approved rebaseline process
B20,Flamegraph capture not mandatory,packet_ready,Integrate flamegraph generation in perf lane,Publish artifacts per run,Diff hotspot changes against baseline,Fail on major hotspot regressions
B21,Gate scripts too serial,packet_ready,Build dependency DAG for checks,Parallelize independent stages,Add per-stage timeouts and retries,Track wall-clock reduction
